   #Frame      Binding    MM        PB        SA     |   COU       VDW     |       PBcom        PBpro        PBlig  |    SAcom     SApro     SAlig
_pid~0.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~1.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~2.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~3.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~4.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~5.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~6.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~7.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~8.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
_pid~9.00ns   -172.354  -468.304   330.612   -34.662 |  -147.217  -321.087 |    -5858.095    -6030.022     -158.685 |   229.964   240.040    24.586
